25/07/2019,mPesa,112580,23943,51386,80538,14794,125229,KES
26/07/2019,mPesa,125229,23997,59677,75686,13504,147405,KES
27/07/2019,mPesa,147405,24734,56039,77699,11840,166870,KES
28/07/2019,mPesa,166870,21027,47113,78063,13641,179315,KES
29/07/2019,mPesa,179315,20393,47818,82194,14791,191949,KES
30/07/2019,mPesa,191949,23865,33202,80378,12888,188398,KES
31/07/2019,mPesa,188398,24599,37184,76787,11128,189855,KES
01/08/2019,mPesa,189855,23259,45503,78090,14905,197194,KES
02/08/2019,mPesa,197194,20164,55931,79552,13976,218985,KES
03/08/2019,mPesa,218985,23354,44739,83365,10110,230260,KES
04/08/2019,mPesa,230260,20749,38748,79925,11037,237222,KES
05/08/2019,mPesa,237222,21649,47882,78239,10206,253249,KES
06/08/2019,mPesa,253249,21194,30703,77070,11063,251695,KES
07/08/2019,mPesa,251695,22083,42677,81783,13037,259252,KES
08/08/2019,mPesa,259252,23021,33282,84335,14818,254695,KES
09/08/2019,mPesa,254695,22868,53852,77911,11537,274142,KES
10/08/2019,mPesa,274142,21343,48176,77858,11259,289716,KES
11/08/2019,mPesa,289716,21805,45938,83167,10588,303261,KES
12/08/2019,mPesa,303261,23072,32411,79746,12924,299676,KES
13/08/2019,mPesa,299676,22790,48678,78038,10639,314925,KES
14/08/2019,mPesa,314925,22077,39522,79185,12495,319875,KES
15/08/2019,mPesa,319875,22947,43661,76503,10731,329858,KES
16/08/2019,mPesa,329858,24051,46151,84279,14175,337783,KES
17/08/2019,mPesa,337783,20709,47385,84342,11089,353370,KES
18/08/2019,mPesa,353370,20307,58126,76422,11577,379612,KES
19/08/2019,mPesa,379612,20820,46526,80021,14113,391205,KES
20/08/2019,mPesa,391205,22483,58548,83840,11451,415819,KES
21/08/2019,mPesa,415819,22396,57050,77019,10345,440128,KES
22/08/2019,mPesa,440128,21698,45531,76240,10517,453444,KES
23/08/2019,mPesa,453444,24393,52481,81598,10759,470773,KES
24/08/2019,mPesa,470773,20147,53304,77329,10769,493161,KES
25/08/2019,mPesa,493161,20848,33525,82617,10130,495708,KES
26/08/2019,mPesa,495708,20975,44431,81401,13679,505485,KES
27/08/2019,mPesa,505485,24602,54827,82147,13629,522081,KES
28/08/2019,mPesa,522081,23587,56296,77122,11017,543773,KES
29/08/2019,mPesa,543773,22661,32431,76399,11554,541989,KES
30/08/2019,mPesa,541989,22129,49144,83582,12857,556147,KES
31/08/2019,mPesa,556147,23099,41397,75563,10734,563711,KES
01/09/2019,mPesa,563711,23197,38239,81849,10830,567923,KES
02/09/2019,mPesa,567923,22710,42875,77087,10650,577438,KES
03/09/2019,mPesa,577438,21926,52034,83285,10289,597257,KES
04/09/2019,mPesa,597257,23352,43727,76866,13646,603986,KES
05/09/2019,mPesa,603986,23059,59801,76872,11277,629451,KES
06/09/2019,mPesa,629451,21991,54372,76272,12001,649831,KES
07/09/2019,mPesa,649831,23366,46786,79259,10553,662698,KES
08/09/2019,mPesa,662698,20070,39851,76933,12511,669968,KES
09/09/2019,mPesa,669968,20426,41869,83554,10037,681374,KES
10/09/2019,mPesa,681374,24242,52008,76856,12611,696529,KES
11/09/2019,mPesa,696529,22778,44685,75177,12547,705889,KES
